predator,senderID,letterLines,wordLines,numberOfLines,spaces,funkyWords,posEmoticons,neuEmoticons,negEmoticons,consecutiveLetters,alert,blacklist,misspelledWords,negativeSent,positiveSent,message
p,1d911cc805cce729269c8d357dc0f0fe,1,-1,30,2,0,0,0,0,-1,2,2,3,-16,3,"about what about what ok then leave u wanna meet? i wont meet u at ur house yeah maybe do u only like older guys would u see a guy under 18 no stop asking what do u have money can u get a taxi u said no when i asked to meet u at the park ok meet me at the park 6 yea do u why did u say no yesterday were u looking out ur window when u called me whynot so u were looking out when u called me the first time ok fuck off there were police there when u called me u fucking liar ok ur lying and blinde bye dont talk to me iggy null"
p,fb169d16c42ca83583dd05b3f4d7fc98,0,-1,3,0,0,0,0,0,-1,0,0,0,-1,0,"where you been stranger leave me a message when you come on if you still wanna talk to me null"
p,2d08262caa29b1bebeb24e9ad0c60ece,1,-1,4,0,4,0,0,0,-1,0,0,1,-5,9,"robin if i don't answer  leave me a message with your number so i can call u back ok.. if i hear your mom answers it ill just play it off like im looking for a guy named rudy or something ok. that way it seems like i got the wrong number ok. hope to heat from you sweetie  i cant wait love dan null"
p,d18fb2dc834414a71aace67bee91c432,0,-1,2,0,1,0,0,1,-1,0,0,0,0,0,"i tried to call you tonight :( null"
p,0599cd3f7fc15849844468b0702ff593,0,-1,3,0,0,0,0,0,-1,0,0,0,0,5,"wow another day free null"
p,f069dbec9ab3e090972d432db279e3eb,0,-1,2,0,0,0,0,0,-1,0,0,0,0,0,"just looking for u null"
p,f069dbec9ab3e090972d432db279e3eb,1,-1,2,0,4,0,0,0,-1,0,0,0,0,5,"hey there i hope u had a good night last night...and slept good....i wished we could have chatted longer...i should be on later in the afternoon...hope we can chat then null"
p,a03edc2f70bbebc73ef3ba3f06968360,0,-1,2,0,0,0,0,0,-1,0,0,0,-4,0,"sorry lost service null"
p,afe8ba8af6d0677a79ce0284cb9cc63a,0,-1,2,1,0,0,0,0,-1,0,0,0,0,0,"hello beautiful! null"
p,0599cd3f7fc15849844468b0702ff593,0,-1,2,0,0,0,0,0,-1,0,0,0,0,0,"hi null"
p,2d08262caa29b1bebeb24e9ad0c60ece,1,-1,5,0,2,0,0,0,-1,0,0,1,0,0,"hi robin are you there? i'll be on later on tonight. look for me ok kissessssssssss dan null"
p,13ff9f88ad6e1242f30cb4c7d4a36ed7,0,-1,2,0,0,0,0,0,-1,0,0,0,0,0,"im me when u get back null"
p,89319407d854bb82113349ecf7ce3682,0,-1,3,0,3,0,0,0,-1,0,0,1,-2,2,"hey baby!   how was ur day ? i am on and off the comp but invis so im me and if im here i will talk back  if not i will hope 2 see ya later tonight!! missed ya today!! null"
p,0599cd3f7fc15849844468b0702ff593,0,-1,12,0,1,0,0,0,-1,1,1,1,-2,3,"still studying? just waiting to eat with you yes when you finish as you wish stil one of her panties steal i see ok i wish was there to lay next to you ? null"
p,a03edc2f70bbebc73ef3ba3f06968360,0,-1,2,0,0,0,0,0,-1,0,0,0,0,0,"u can still call null"
p,1290ea419856093edf96b1263cb1ca1e,0,-1,3,1,0,0,0,0,-1,0,0,0,0,0,"hello r u there? null"
p,89319407d854bb82113349ecf7ce3682,0,-1,2,0,0,0,0,0,-1,0,0,0,-2,0,"i miss ya null"
p,6283fab0062e2eb309261acf647abd98,2,-1,12,1,0,0,0,0,-1,2,2,0,-12,8,"no fighting minotaurs hey yea im kicking ass no i am not mad at u dont get so jealous i promise we will meet as long as u want to meet me because ur always thinking of me going on another date o really i think u already have stronger feelings for me o thanks yea i cant stop playing i am getting new powerful moves yea i am but it will be a very long time null"
p,80706012f8f9f1175c8e37c306394727,0,-1,2,0,0,0,0,0,-1,0,0,0,0,0,"hi null"
p,f069dbec9ab3e090972d432db279e3eb,0,-1,2,0,1,0,0,0,-1,0,0,0,0,0,"im back...r u around still null"
p,c1f43e1c992120a1c460b8ef7d0b4e9b,0,-1,2,0,0,0,0,0,-1,0,0,0,0,0,"hi null"
p,c62283536cf6261e5ffbcb323c8a2571,2,-1,15,1,3,0,0,0,-1,0,0,0,-1,5,"hi good and you won't be on the web much longer not worth what i pay for it crashes all the time sure and u have to get a phone number so we can talk won't be on the web monday already got it set up don't have a regular phone only a cell phone name the date and place ok null"
p,e788b3a47e4d812ed26036a93272c134,0,-1,2,0,4,0,0,0,-1,0,0,2,-2,0,"awwwwww...i just missed u not to long ago...ok i'll talk to u tomorrow...goodnite baby null"
p,03957f443c7790f9642db14bbc59df11,0,-1,2,0,2,0,0,0,-1,0,0,0,0,2,"i'm back. i hope you come back on soon. null"
p,5778ac8dcffe9bbacf3c0415fdb362d6,0,-1,2,0,0,0,0,0,-1,0,0,0,0,0,"hey? null"
p,9f1180d3743c2e880a36aaefbb0a80ef,0,-1,2,0,5,0,0,0,-1,1,1,2,-10,9,"hey my carie bear  i hope i didnt get u scare again. i can b a dumbass sometimes  just worried that something will go wrong and this chance of being 2gether will b gone. i just write a quick one because i have 2 study 4 spanish midterm. just remember this my love i luv u. hope talk 2 u tomm.  later ty null"
p,c62283536cf6261e5ffbcb323c8a2571,1,-1,14,2,0,0,0,0,-1,0,0,1,-3,10,"yep going to san diego in two week's see some people big hug  kiss  love struck will you marry me? when your 18 we would get in big trouble your to young right now yes just got a package from ups paper work to sign and a gps for the motorhome global positioning system i put an address in it and it shows and tells me how to get there what in february null"
p,d18fb2dc834414a71aace67bee91c432,5,-1,40,0,14,0,0,1,-1,0,2,8,-2,27,"awww he loves u so you two never did anythign dirty? lol what did u all do with him again? i know u told me before but i really forgot sry :( i forgot :( did u see his thingy? rub it? lol make stuff coem out of it? did u? and thats all? did he rub ur thingy? u didn't put it in ur mouth though right? did u? are u lieing? :( lol u told me u never did that u sure u did that? lol lol put it in ur mouth his thingy really? awwww u don't need to be did he rub u? ur private place use figners in it? did he see ur boobies? :( i'm jealous :( did u like it in ur mouth? did stuff coem out in it? ur mouth lol now i want to come there and do that to u :( if you'll still let me that is :( aww man now that i'm all honry lol are u to now? goodnight when can i come over? lol :-* sunday? sunday it si nite muah null"
p,4ab0a550ebb27f9a95e31ccbf0114850,0,-1,9,0,0,0,0,0,-1,0,0,1,0,3,"lol i know whats new oh i knwo trying to make convo so tell me about your first time? oh null"
p,d18fb2dc834414a71aace67bee91c432,1,-1,2,0,3,0,0,0,-1,1,1,1,-4,8,"than you so much for the bday wish. i miss you too. i had fun tonight. i was safe and sober while all my friends got drunk and i had to drive them around lol null"
p,926981922f4a48d98ebc92a9375e5d45,0,-1,4,1,0,0,0,0,-1,0,0,0,0,2,"hey u r u here? hope u getting online soon  im getting sleepy null"
p,6283fab0062e2eb309261acf647abd98,5,-1,24,0,0,0,0,0,-1,0,0,4,-5,19,"hey hun im gonna go to bed ttyl my love i mean my dear im so tired mwah i miss ya as well if u could drive would u come and see me thanks what do u mean when ur old enough and if u really want me thats up tp u well do u want me so did i would u want me whats that soppose to mean so i guess no then am i right ok good night my dear ttyl send me a message on myspace i would like to read about ur life if anything interesting k mwah kissy for u null"
p,a03edc2f70bbebc73ef3ba3f06968360,0,-1,11,0,0,0,0,0,-1,0,0,1,-3,16,"yeah kinda yay did u fall back to sleep am up going bathroom gosh lol lol i wont lol have u been praticeing standing up yet so u said u would lol lol ur silly no ur silly ok null"
p,c62283536cf6261e5ffbcb323c8a2571,0,-1,3,1,0,0,0,0,-1,0,0,0,0,5," big hug  kiss null"
p,b679fca2e3690b4d3c60815edf4e3ca5,7,-1,34,1,31,0,0,1,-1,2,6,13,-3,7,"it's fate  doo doo dee doo so do you know angel? personally or just myspace? well  what a fine group of young ladies you have there in laguna beach heehee i just pulled up that pic--how cum your lips are so wet? well  it's really sexy. and hot #:-s i'm sweatin =p~ and drooling oops bad me  mmmm do you have flavored lip gloss? i bet the boyz luv it!!! oooh i wanna taste :(( well yes :" is that ok?? wow!!:-* you're really cool!! would yer boyfriend be mad? you don't?? what. all the guyz in laguna are gay???? they are or else they'd be all over you heehee so what flavor ya wearin today?? oh oh oh!!! i want some!!! you're teasing me on purpose;) i oughta put you over my knee and  ya!!  then i'd give you a big hug nnnngh! yoo hoo ??still there? what  the dog came back in??? ok ok i wouldn't spank you  i was just goofin shit! i'm at work and i've got a meeting. people just showed up. say something!!!! =(( come baaaaaaaack beanie??? my little bean has been refried and gone away :(( i gotsta go--i'll try back later --bye:-* null"
p,48aad4b6baaba42d5ad3b77880d3cead,2,-1,17,0,0,0,0,0,-1,1,1,1,0,4,"back u want to have sex with me? thats what we talked about ok then yes i do yes brb yes i will when will you be on? give me a time to check in? at night? why so late? oh ok well i will check the whole day  so let me know something whenever neither can i later null"
p,4ab0a550ebb27f9a95e31ccbf0114850,2,-1,17,0,1,0,0,0,-1,0,0,3,-6,3,"im soo sorry you there? i peed then i had to do something sorry so whats up ah you ask your parents what time theyll be home? oh so i gotta be otta there by 8 just to be safe not really smashed my thumb it hurts hammer hey ill be back like 730-8 that ok? kewl null"
p,fac3a2081264f1dbb943eaf7165d8fc3,1,-1,11,3,1,0,0,0,-1,2,2,1,0,14,"u all full fat and happy so what u eat cool it ok got a better offer well sweet dreams sexy ones i hopw hope > k may i ask what up null"
p,81383171ca9da4d245dea449027c3d09,3,-1,28,2,5,0,0,0,-1,0,0,7,-8,26,"cool   the one i have its more like a 6 months old thank you ever been to kennewick? i think i've been to lakewood before  i used to live around that way enumclaw   bremerton  so i'm sure i've been at least through there where from? cool  my prother now lives in arizona oops brother* talking to a cute girl got me all exceited now i cant spell i try to be why you up so late? or is it early? why not? i see  what you seeing the doc for? if thats ok to ask a shot  alrighty what is it called? lol yeah i'd do that too lol dont like school huh? i hated school also i didn't finish either  got tired of the bs from the schools you right it isn't hey can i add you ? i'm liking ya already thanks cutie so single? yes i am  some times it sucks but sometimes its nice  i get to flirt more alright  have a good night and sweetdreams you bet nighty night null"
p,a03edc2f70bbebc73ef3ba3f06968360,0,-1,6,0,4,0,0,0,-1,0,1,0,-2,2,"miss u more nite sexy. oh checkout myspace added a new pic. let me know what u think. u like it? well anyways ttyl :-* null"
p,a03edc2f70bbebc73ef3ba3f06968360,0,-1,2,0,0,0,0,0,-1,0,0,0,0,0,"kisses null"
p,fac3a2081264f1dbb943eaf7165d8fc3,1,-1,10,0,1,0,0,0,-1,0,0,0,-5,7,"yes no maybe was that such a hard question lol lol i know just how long it took to answer no me dam internet i think sorry no let me reboot my compute c what happens ok dont go any where :-* null"
p,970f6cbfa8b79242464120ec1bc7d074,2,-1,27,1,3,0,0,0,-1,3,3,3,-14,26,"got us a room in lawton at bestwestern when u tell me i got my ways baby b-) yes u will have rm ser so when will the date b? so when will u b able to b with me? yes if thats what works best 4 u yeah u being honest right? think this is cool because i do i know well me 2 just know that u will b very diff 4 me meaning our ages u being so young i dont want u 2 b hurt in later life oh baby not a chance but dont want u to b hurt mentally u know no no 80 and yes i want very much do u want to backout? thats fair but u have 2 do same damn u r way hot u will b 2 yes very easy going not raging ass hole wish u had a good pic 4 me would like 2 c u kk call :d null"
p,503343ecf680e0899a3863cc8bf2b9dc,0,-1,2,0,0,0,0,0,-1,0,0,0,0,0,"hey null"
p,47243a4a2c68f2f00899670d455a21fa,0,-1,22,0,5,0,0,0,-1,1,1,3,-6,6,"i mean like work round tha house oh where ur dad stay.? san bern right..? wow where.? let me kno y.? y not.? i can c u at skool  ill b able 2 c u that's my work truck i have a car 2 ill drive my car exsplorer a truck ford grey  grey green black null"
p,9775a796b1ac00a2a756f530bf554582,0,-1,2,0,0,0,0,0,-1,0,0,1,0,0,"whre are you? null"
p,c62283536cf6261e5ffbcb323c8a2571,0,-1,3,0,1,0,0,0,-1,0,0,0,0,0,"call me if you can and wake me up :x:-* null"
p,a03edc2f70bbebc73ef3ba3f06968360,0,-1,17,0,3,0,0,0,-1,0,0,2,-2,13,"makeout lol yeah ok unless u want to thats fine with me lol jk so what u two doing today? cool what movie ok :-* have u told sarah about u? us awww ur sweet loves u does sarah have bf ok loves u miss u :-x null"
p,85346c8846fc694078665377fec333b0,0,-1,5,0,7,2,0,0,-1,0,0,0,-2,1,"hi cutie ;) i'm on now and will be on tomorrow morning around 9:30 ......... miss you ;) wish you were here :) will you be on tomorrow  morning around 9:30 or so ? null"
p,22b43adc75cd94c074892cee0b964eb8,0,-1,6,0,15,1,0,0,-1,0,0,1,-1,4,"u online? got disconnected earlier. hey  i am going on saturday  i made up up mind :). just let me know if you are for sure and all. i'll be online in the morning  not sure about the night  i may pop in to see if you reply. :) it's gonna be soooo great baby. hey  i'll probably leave at 2 from here  so i should be there close to 6. if you want call me around 5:45 or so. :) i'll get some condoms. :) null"
p,39bd8b11509b5ddc5948b5b77f034ea1,1,-1,16,1,1,0,0,0,-1,0,0,6,-2,12,"yeah they dont deserve me workin there thats sweet:" i got big shoulders and a big cck what time does she leave on sat oh tommorow yeah you definatetly gotta call me tomorrow but only after she leaves too so by the time i get off work shell be gone or no she leavin at night ok lets do that and keep everything the same time yeah definately and call me at 5 just so i know everything is good its gonna be fun i gotta shower and stuff bye null"
p,e4c7c376bbd07aeb4a59684a2b94a664,0,-1,14,1,2,1,0,0,-1,1,1,0,-2,17,"hello sexy how are you? having a good day? same miss me? absolutely still want me? :-) i have to go just got on to check if you were here and say hi love you too :-* have a great night and fantastic day tomorrow null"
p,4ab0a550ebb27f9a95e31ccbf0114850,0,-1,6,0,0,0,0,0,-1,0,0,1,-2,0,"kool sure its been planed for awhile ill ttyl sweety nite null"
p,80706012f8f9f1175c8e37c306394727,3,-1,35,0,4,0,0,0,-1,3,3,2,-25,21,"yeah im here im not going to be able to come see you i just cant do it im sorry nothing against you at all...its just the age thing your perfect i know it sucks of course its not that i dont know what to say  i was looking forward to seeing you just cant do it i just made my mind up last night i know....i know your pissed  but i hope you can understand from my end believe me nothing would be more fun but i have to live with it i know im sorry it really sucks for me too u can to if thats what u want i hope we can still be friends huh i told you i would be here and give you my decision and i am least give me some credit i will talk to you later if u want to talk...im gonna go for a bit though im sooo sorry please believe me the risk is too much for me no just going to get someting to eat im sorry im glad u did..... i really tried if u were 16 it would be all legal your making me feel like shit now im just gonna go dont know what to say im gonna go now though talk to ya later if your not too pissed null"
p,b4a8480c88776ca09e50c327a56f5e16,2,-1,19,1,2,0,0,0,-1,0,0,3,-7,13,"oh too bad so sad it was ok did one massage did you do anything exciting i drove by costco on sat i went by around one going to the ladies home to do her i was almost out of her place by then how did you do on your tests ok yes school is like that yes i will be here i may still be at midas getting my car fixed i still want to meet you no i'am having something check't out to be honest i have no idea anytime after 4 tell me what are you thinking ok ok be good bye null"
p,926981922f4a48d98ebc92a9375e5d45,0,-1,4,0,1,0,0,0,-1,0,0,0,0,1,"u here? r u gone forever? i guess you don't want to talk to me any more null"
p,d18fb2dc834414a71aace67bee91c432,0,-1,24,1,10,1,0,1,-1,0,0,5,-10,33,"yay chels is back! lol awww your even on lol :( i've missed talking to u no more getting grounded pelase lol good don't skip school lol u can miss behaev in other ways though ;) lol me too lol no i hated when u were ebcause we couldn't talk your still a cutie ;) :-p awww. can i join? u in bed ha :-d yes i am night. nice hearing from ya though :) awww lol stop bluyshing lol nite dork null"
p,a03edc2f70bbebc73ef3ba3f06968360,0,-1,2,0,1,0,0,0,-1,0,0,0,0,5,"well i hope you have happy 4th :-: null"
p,a03edc2f70bbebc73ef3ba3f06968360,4,-1,26,0,3,0,0,0,-1,1,1,4,-9,18,"for me its lunch so eat silly lol your silly yea i left my webcam on allnite forgot to turn it off yea i did no one i was just playing around with it besides you didnt want to see me naked lol yea but it wasnt boardcastting unless you wanted to see lol thats not what i asked ok then yes it is ok its fine with me but what did you wanna see ? thanks just face then ok lol well am going to finish eatting ill log into my comp when i get home miss me lots:-* yea i am ill be back in a few ok gf ok :-* null"
p,609f7b8e566e8d514eecf112d3d3bc95,0,-1,3,0,0,0,0,0,-1,0,0,0,0,3,"u sleep well i love you null"
p,0599cd3f7fc15849844468b0702ff593,2,-1,20,0,3,0,0,0,-1,6,7,1,-21,3,"did he come back to you? i will tell you what if you touch his dick and suck it  he will be with you that is crazy!!! you need to suck a dick yes you will suck mine soon ? you will see i do you can do things to me sexually. you can learn with me i will fuck you if you ask me to do it it will happen sooner that what you expect what is not fair lets pencil it for the week end i am your friend for real i wont lie to you it willhappen i will do all i can to meet you null"
p,f538a2a92145534b4b61893399479fcf,0,-1,3,0,0,0,0,0,-1,0,0,0,-2,4,"why did u get into trouble 2 funny null"
p,053364a8ce3df76dadd5fe75fb056f72,0,-1,3,0,0,0,0,0,-1,0,0,1,0,0,"hey i had to come back and get my other car mt honda suv now where are you  null"
p,ca5496597b7151b9c2414c16c4ef5422,0,-1,10,0,2,0,0,0,-1,2,3,0,-2,2,"hey k no b/f yet? sorry if i cud i wud be too old i like sex and you are a virgin ( u mad? why? null"
p,f069dbec9ab3e090972d432db279e3eb,2,-1,2,0,5,0,0,0,-1,0,0,0,-2,3,"hey there...im glad u are back on ...and got it fixed...i was just checking to see if u were here...mmmm im missing you girl : null"
p,fac3a2081264f1dbb943eaf7165d8fc3,1,-1,15,0,0,0,0,0,-1,0,0,2,-1,3,"what your favor food through with what no or is this that slow meaning yahoo k though u were just taking your time on answeing me y if u r busy i understand k what are we ordering i c and what do u want what i cant get me a straigh answer ok k null"
p,fac3a2081264f1dbb943eaf7165d8fc3,0,-1,2,0,0,0,0,0,-1,1,1,1,0,3,"hey sexy have a wonderfull day null"
p,23bffbccce4e395053495c68a5e15b68,2,-1,20,1,2,0,0,0,-1,0,1,5,-3,5,"well that sucks always somethin here is a calling card i have....see if there is any minutes left on it u have to call 1 800 487 7646 first then the pin number is 1237 5852 0621 did u get that when ok u get one then when i come there i will get you another one are u gonna call me back after u getone? well then ya i really want to see u too but want to talk a lil more than 5 minutes i will come u just call me and why do u really really want to see me? u ready to go all the way u feelin horny? hope its more than kinda when i get there :-p ok then when u call me back u can give me your addy null"
p,d18fb2dc834414a71aace67bee91c432,0,-1,2,0,0,0,0,0,-1,0,0,0,0,0,"hey hey hey null"
p,aebe7a87ad50fbad92d9931c49cae848,0,-1,3,0,3,0,0,0,-1,0,0,0,0,7,"wow  so glad to hear your voice:x i gotta go to town for a bit  i'll look for you later  bye for now:-* null"
p,d18fb2dc834414a71aace67bee91c432,0,-1,2,0,0,0,0,0,-1,0,0,0,0,0,"u here? null"
p,03957f443c7790f9642db14bbc59df11,0,-1,2,0,0,0,0,0,-1,0,0,1,0,0,"hey katie  where are you? null"
p,c62283536cf6261e5ffbcb323c8a2571,0,-1,8,0,3,0,0,0,-1,0,0,0,-3,0,"keep crashing can't stay on keeps crashing real bad i'll be on at 10 i have 4 times i'll be on at 10 got to reinstall software again bye null"
p,503343ecf680e0899a3863cc8bf2b9dc,1,-1,15,0,2,0,0,0,-1,2,2,2,-2,11,"hey miss me? uh hu u been horny lately? cause i wanna know lol have u? lol ummm if u were here u would be i do and id get u off i know u want to cum for me u want my hands touching u dont u? ok i wont touch ok lol null"
p,fac3a2081264f1dbb943eaf7165d8fc3,0,-1,4,0,1,0,0,0,-1,1,1,1,0,19,"moring sexy hope u sleep good i would like an answer to what i ask latter today please like i said i know what i would like to get out of this want to her your 1st have a nice day:x null"
p,89319407d854bb82113349ecf7ce3682,2,-1,49,1,4,0,0,0,-1,3,3,2,-8,11,"hihi] ur back sexy  nope stroking my dick jk i just got back ? who? no cam try k i wasnt silly u want me to do it later 4 you  dont u ? r u there i got booted i asked u a question did u get it i didnt see the answer really can u be in ur nighty tonight or tee n undies  u dont wanna or u wanna be undressed all together lol  u tell me i know it gets u hot mom gonna be home k gotta be carefull what time 4 u allowed up til if ur busy chatting i will let u go k h/w whats she doing oh u can see her when she comes in ur room k baby i miss ya mmmmm wish ya were here ok go i will be around maybe invis love ya  null"
p,e788b3a47e4d812ed26036a93272c134,5,-1,11,0,2,0,0,0,-1,4,4,3,-9,9,"i dont know cause u havent put your whole finger in there yet u do want me to be able to get my dick inside of u right? well thats why u need to finger that pussy for me i know so baby im here well im wonderin if u goin to turn out to be a good lil slut for me well i dont really know if u dont even finger your pussy everynite like i told u to do i gotta get off of here now...so just do what i told u to do so i can know how good u goin to be for me ok yeah..a friend of mine just came over here ttyl and do what i said baby null"
p,89319407d854bb82113349ecf7ce3682,0,-1,2,0,0,0,0,0,-1,0,0,0,0,0,"are ya on today null"
p,0599cd3f7fc15849844468b0702ff593,0,-1,20,0,1,0,0,0,-1,7,7,1,-18,20,"u are wonderful you are the only male to get me hard i would love to take a lok at your dick i like it i would enjoy yours really you can place it anywhere in me mouth  ass  anywhere where would you like to place it? i want you to be the one having fun too you do anything you want with your dick place it in my mouth  in my ass   masturbate on my face   masturbate on my butt  whatever what do you mean? go next time go with me no dont you want to go? go ? null"
p,c62283536cf6261e5ffbcb323c8a2571,0,-1,15,0,3,0,0,0,-1,0,0,1,0,1,"kewl o ok are you laughing haveing problem's it's on there k ty hang on ok won't let me do it chat with u tomorrow i'll be on my web cam 1 p/m ok null"
p,80706012f8f9f1175c8e37c306394727,0,-1,2,0,0,0,0,0,-1,0,0,0,0,0,"whats up null"
p,c62283536cf6261e5ffbcb323c8a2571,0,-1,4,1,2,0,0,0,-1,0,0,1,-2,2,"where are you hope nothing's wrong   i'll be back at 10 :x:-* null"
p,aebe7a87ad50fbad92d9931c49cae848,0,-1,21,1,3,0,0,0,-1,2,2,2,-3,10,"uh huh wwe'll see yep girls mature faster than boys yep haven't got their priorities right lol brb i used to be no longer 5 years happy now yep stilll here? cool enough to eat now huh dominos? cool ok go ahead and eat  yell when you get done ok  i'll be her unless i have to go on a fire call null"
p,2d08262caa29b1bebeb24e9ad0c60ece,1,-1,9,0,1,0,0,0,-1,1,1,2,-2,5,"hey babe where have u been i was in la looking for you last week i wanted to meet you it was my only chance for a long time please call me when u get a chance ok 367-8491 i miss you sooooooooooo much kissesssss dan null"
p,c62283536cf6261e5ffbcb323c8a2571,0,-1,3,0,1,0,0,0,-1,0,0,0,0,0,"hi i'll be on today null"
p,c1f43e1c992120a1c460b8ef7d0b4e9b,0,-1,2,0,0,0,0,0,-1,0,0,0,0,0,"hun where are you null"
p,f069dbec9ab3e090972d432db279e3eb,0,-1,18,0,5,0,0,0,-1,0,0,4,-2,8,"i cant stay long i just needed to see u and say hi hi i didnt want to leave so fast either ok u r sweet i cant beleive i gave u my number lol it is with me for sure : ok....ill check back in a lil bnit luv...k email me if i dont come back and u have to leave ok i did : ok bye for now sweet cutieann mmm u r something : null"
p,9f1180d3743c2e880a36aaefbb0a80ef,0,-1,2,0,5,0,0,0,-1,0,0,0,0,15,"i hope to talk to u tomorrow i have good new and most likely even greater new to tell you  if dont see u tomorrow and not sat. i try 2 see you on sun or on the week days. hope 2 talk 2 you soon i cant wait 2 tell you the news. love u even more. sweet dreams. null"
p,0b6b05c740a1bf50ca7f9a461598a3b9,0,-1,3,1,0,0,0,0,-1,0,0,0,0,0,"hello? yep yep yep null"
p,6f35a1f69fd4ae82056e4bc6a8a84575,0,-1,2,0,0,0,0,0,-1,0,0,0,0,0,"hey null"
p,89319407d854bb82113349ecf7ce3682,0,-1,2,0,1,0,0,0,-1,0,0,1,-4,0,"u must be tired  u signed ur xanga but never signed on yahoo. miss u null"
